"ProvincialSeedlotsID","ExperimentalClimate","HtFinalS01_mm","HeightFinalS02_mm","FinalStemDiamS02_mm","MaxGthRate_mm_Day","FinalShootWeightS02_g","FinalRootWeightS02_g","TotalWeight","RootShoot_Ratio","BudSet","BudBreakS02_day","LinearGthS02_Days","Gth5pctS02_Day","Gth95pctS02_Day","Gth5.95pctS02_Days","ColdInjuryFallS02_Mean","ColdInjuryMidWinterS02_Mean","ColdInjurySpringS02_Mean","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","log(MAP)","log(MSP)","AHM","SHM","DD0","DD5","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"BC_TSC_46221","MAT06",36.4197678240539,100.997934090095,3.09811414631003,1.98455517897018,2.0737969473483,0.611369433857515,2.68303993860591,0.333233183404885,NA,50.1867894177026,5.26194428097772,131.793656880451,177.867062352912,45.7985268607195,94.2842602167912,79.1172381342048,64.5061418593648,49.3,-124.52,100,8.6,16.6,2.1,14.5,7.20191631753163,5.3890717298165,13.9,75.8,140,1794,263,122,291,169,92,-19.5,35.6,687,276
"BC_TSC_47216","MAT06",29.7394160643496,98.3345234666788,2.47492894063109,2.21412320092728,1.66957569132667,0.741047296417563,2.41191724369825,0.417017876432454,162.988583871686,47.4326564146131,4.87278220291002,131.4469452483,175.579721394691,43.9010260154084,72.8832491731992,60.7671507275619,64.724353524457,49.3,-117.92,1560,2.8,14,-7.7,21.7,6.69703424766648,5.66296048013595,15.8,48.6,975,1007,152,158,255,97,394,-37.6,32.9,535,170
"BC_TSC_47482","MAT06",38.0628497866471,116.333065486015,2.88842974929974,2.35636081556591,2.75716308212199,0.863504809962016,3.62038337046836,0.311671921051669,168.001618600683,47.3745020810448,5.03514711814171,131.58086319463,179.058074357367,47.4331549130695,56.8234185249459,57.4138089163745,56.7777692370214,54.43,-128.58,180,6.4,16.3,-4.1,20.4,7.23128700432762,5.74939298590825,11.9,51.8,437,1553,228,123,289,166,363,-28.9,33.2,520,160
"BC_TSC_47830","MAT06",35.7287681750213,124.998633566048,2.79745210698168,2.56293542921051,2.89579295307394,0.824167407131536,3.71853560385402,0.255258539270922,158.036051883859,47.4327133445696,5.30582250056212,131.595812598315,183.964584765438,52.2490035903459,85.8501565046272,45.2351336755481,75.6548679069943,52.33,-122.42,912,4.7,15.9,-7.5,23.3,6.36475075685191,5.75574221358691,25.2,50.2,815,1402,163,157,256,99,151,-39.2,35.1,651,255
"BC_TSC_47886","MAT06",38.0707537376073,108.995459992711,3.18603979116544,1.93003475472814,2.26755558774888,0.932130831322652,3.19492867424054,0.395284052296904,157.422499096229,48.186896161371,5.76166069806039,122.242560767562,174.355639808474,51.9465696751752,49.3651382794635,39.838484205354,60.9888290883441,51.35,-121.38,1080,3.1,14,-8.5,22.5,5.89440283426485,5.32300997913841,36.1,68.3,971,1070,135,168,241,72,114,-40.9,34.3,594,352
"BC_TSC_47905","MAT06",36.8767168848652,100.501972079211,2.64466937980756,1.82833746530901,2.86077974237229,0.978153223109413,3.84101661775854,0.313141644581033,165.034605630915,48.0119634885253,6.00000320859166,131.849137503261,182.280957892031,50.351567984553,65.729782858946,61.8049760587351,91.7431980394572,49.9,-118.2,560,6,17.4,-5.8,23.2,6.49072353450251,5.55295958492162,24.2,67.5,594,1608,188,138,265,127,195,-33.8,36.9,690,331
"BC_TSC_47906","MAT06",40.2638736341163,108.249273467026,2.75761286870369,2.10450347378716,2.56779149405089,1.17946386150847,3.74653227697612,0.451831792675396,151.48860693731,46.1430687029191,5.78399682393685,128.370173184538,179.76039257695,51.1495480997504,50.9348571356403,40.4263398058508,59.5965612019585,57.18,-122.65,1165,0.3,13.1,-11.6,24.7,6.39024066706535,6.02102334934953,17.2,31.8,1596,842,138,159,246,87,169,-44.7,29.8,429,11
"BC_TSC_4791","MAT06",35.5869335942115,76.0014670574635,2.40504801113955,1.39462618579185,1.65307679282997,0.474944426624799,2.12966630816828,0.305118123958918,157.027398969525,46.2157456083291,5.61441655066818,130.844606835227,173.337498088605,42.0013472221725,62.6891804032227,43.7098301591626,46.0657218102394,54.97,-127.3,427,3.8,14.8,-8.4,23.3,6.2841341610708,5.4553211153577,25.8,63.4,892,1218,167,151,259,108,187,-38.1,33.3,534,262
"BC_TSC_47963","MAT06",41.79140737532,110.334273020327,2.99555529187802,2.06420341857991,2.586073463045,0.863817507942364,3.45083439795088,0.34428079796998,168.349266843466,45.924682174461,5.19368292013394,128.583859275436,175.633817856783,47.2006746842985,80.068960457319,47.8383818420844,74.2467886138512,51.5,-117.17,900,3.6,15.8,-9.7,25.4,6.42486902390539,5.50125821054473,22,64.3,1018,1281,158,152,254,102,273,-40.2,34.6,592,291
"BC_TSC_47965","MAT06",35.0903419987171,112.501804102772,3.06069820955931,2.53408503043637,3.17815222607727,1.12023138805204,4.30020414749001,0.350447290978913,155.53031300333,47.3161318880582,4.63758004524618,129.10275473416,172.555435105603,43.7512818929612,60.8627982076434,55.1188323042192,72.2149312669568,50.07,-115.85,1650,2,13.7,-9.8,23.5,6.39024066706535,5.53733426701854,20.1,53.8,1171,944,138,164,248,84,285,-41.3,32.4,535,213
"BC_TSC_48042","MAT06",33.6359317920121,89.9968222645789,2.56843045978094,1.89933819135618,2.07409404835609,0.647031693494349,2.71785906263024,0.298567462082336,171.915286284006,47.6074965762795,4.95135213090709,132.541318477105,174.71763618298,41.764390600169,87.9818436060673,69.7755789458515,70.2362679291573,49.12,-117.58,1000,5.7,17.2,-5.8,23,6.66440902035041,5.52545293913178,20.1,68.8,630,1571,183,141,263,123,281,-34.1,36.8,696,330
"BC_TSC_48048","MAT06",32.0410257621025,90.3340245983844,2.47495911861735,1.08478435173687,2.00648996297782,1.07390278272608,3.08104380952184,0.53800513639292,163.344482905317,45.8664756550993,9.18951980923632,116.318313099178,192.899977396739,76.8670937615589,77.236256089537,50.1546530627795,74.9975572366925,49.47,-117.85,1780,1,12,-9,21,6.91174730025167,5.91079664404053,10.9,32.5,1235,715,133,164,248,84,569,-39.5,30.5,424,68
